"Timestamp","Pid","ProcessName","GpuEngine","UtilizationPct","ExecutablePath","CommandLine"
"2026-05-10T19:21:00.3315188+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:24:30.2234016+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:28:50.2530481+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:38:31.0158620+08:00","28400","dwm.exe","pid_28400_luid_0x00000000_0x00017AD2_phys_0_eng_0_engtype_3D","5","C:\Windows\system32\dwm.exe","""dwm.exe"""
"2026-05-10T19:45:58.4321375+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:46:31.5450821+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:47:32.0693556+08:00","28400","dwm.exe","pid_28400_luid_0x00000000_0x00017AD2_phys_0_eng_0_engtype_3D","5","C:\Windows\system32\dwm.exe","""dwm.exe"""
"2026-05-10T19:48:05.5467849+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:49:17.5978164+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:50:47.5944767+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
