timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-11T16:35:49+08:00,2026/05/11 16:35:49.941,13,289,24564,8.75,37
2026-05-11T16:35:52+08:00,2026/05/11 16:35:52.218,2,289,24564,5.91,37
2026-05-11T16:35:54+08:00,2026/05/11 16:35:54.354,0,289,24564,5.94,37
2026-05-11T16:35:56+08:00,2026/05/11 16:35:56.453,0,289,24564,5.84,37
2026-05-11T16:35:58+08:00,2026/05/11 16:35:58.545,0,1833,24564,55.90,38
2026-05-11T16:36:00+08:00,2026/05/11 16:36:00.626,0,2121,24564,55.78,39
2026-05-11T16:36:02+08:00,2026/05/11 16:36:02.806,0,2121,24564,55.54,39
2026-05-11T16:36:04+08:00,2026/05/11 16:36:04.896,3,2161,24564,20.53,38
2026-05-11T16:36:07+08:00,2026/05/11 16:36:06.982,4,2161,24564,17.13,38
2026-05-11T16:36:09+08:00,2026/05/11 16:36:09.070,6,2161,24564,17.17,38
2026-05-11T16:36:11+08:00,2026/05/11 16:36:11.249,6,2161,24564,16.93,38
2026-05-11T16:36:13+08:00,2026/05/11 16:36:13.337,3,2161,24564,17.06,38
2026-05-11T16:36:15+08:00,2026/05/11 16:36:15.423,3,2161,24564,16.01,38
2026-05-11T16:36:17+08:00,2026/05/11 16:36:17.512,3,2161,24564,16.97,38
2026-05-11T16:36:19+08:00,2026/05/11 16:36:19.587,3,2161,24564,16.55,38
2026-05-11T16:36:21+08:00,2026/05/11 16:36:21.764,3,2160,24564,17.07,38
2026-05-11T16:36:23+08:00,2026/05/11 16:36:23.850,4,2160,24564,16.71,38
2026-05-11T16:36:26+08:00,2026/05/11 16:36:25.989,3,2224,24564,16.71,38
2026-05-11T16:36:28+08:00,2026/05/11 16:36:28.071,6,2224,24564,16.73,38
2026-05-11T16:36:30+08:00,2026/05/11 16:36:30.155,8,2224,24564,17.78,38
2026-05-11T16:36:32+08:00,2026/05/11 16:36:32.326,3,2224,24564,18.22,38
2026-05-11T16:36:34+08:00,2026/05/11 16:36:34.412,4,2224,24564,17.42,38
2026-05-11T16:36:36+08:00,2026/05/11 16:36:36.510,4,2224,24564,16.61,38
2026-05-11T16:36:38+08:00,2026/05/11 16:36:38.593,8,3408,24564,28.42,39
2026-05-11T16:36:40+08:00,2026/05/11 16:36:40.717,0,7060,24564,47.83,39
2026-05-11T16:36:42+08:00,2026/05/11 16:36:42.895,0,7418,24564,35.21,39
2026-05-11T16:36:45+08:00,2026/05/11 16:36:44.993,53,8582,24564,95.68,42
2026-05-11T16:36:47+08:00,2026/05/11 16:36:47.086,47,8584,24564,142.53,44
2026-05-11T16:36:49+08:00,2026/05/11 16:36:49.179,63,8584,24564,146.48,45
2026-05-11T16:36:51+08:00,2026/05/11 16:36:51.363,42,8586,24564,146.09,45
2026-05-11T16:36:53+08:00,2026/05/11 16:36:53.452,58,17186,24564,218.56,45
2026-05-11T16:36:55+08:00,2026/05/11 16:36:55.547,54,17188,24564,148.30,47
2026-05-11T16:36:57+08:00,2026/05/11 16:36:57.642,61,17188,24564,147.59,48
2026-05-11T16:36:59+08:00,2026/05/11 16:36:59.733,64,17188,24564,151.46,47
2026-05-11T16:37:01+08:00,2026/05/11 16:37:01.914,51,17188,24564,172.14,49
2026-05-11T16:37:04+08:00,2026/05/11 16:37:04.005,65,17188,24564,148.93,50
2026-05-11T16:37:06+08:00,2026/05/11 16:37:06.092,51,17188,24564,148.18,50
2026-05-11T16:37:08+08:00,2026/05/11 16:37:08.183,62,17188,24564,151.40,50
2026-05-11T16:37:10+08:00,2026/05/11 16:37:10.268,66,17188,24564,152.91,50
2026-05-11T16:37:12+08:00,2026/05/11 16:37:12.454,51,17188,24564,150.10,52
2026-05-11T16:37:14+08:00,2026/05/11 16:37:14.557,66,17188,24564,150.23,53
2026-05-11T16:37:16+08:00,2026/05/11 16:37:16.643,82,17188,24564,226.10,59
2026-05-11T16:37:18+08:00,2026/05/11 16:37:18.731,51,17188,24564,152.16,54
2026-05-11T16:37:20+08:00,2026/05/11 16:37:20.836,51,17188,24564,151.65,54
2026-05-11T16:37:23+08:00,2026/05/11 16:37:23.025,51,17188,24564,156.53,54
2026-05-11T16:37:25+08:00,2026/05/11 16:37:25.118,60,17188,24564,238.36,60
2026-05-11T16:37:27+08:00,2026/05/11 16:37:27.209,52,17188,24564,155.78,56
2026-05-11T16:37:29+08:00,2026/05/11 16:37:29.302,59,17188,24564,155.61,56
2026-05-11T16:37:31+08:00,2026/05/11 16:37:31.488,66,17188,24564,156.03,56
2026-05-11T16:37:33+08:00,2026/05/11 16:37:33.579,51,17188,24564,154.97,57
2026-05-11T16:37:35+08:00,2026/05/11 16:37:35.671,50,17188,24564,154.86,57
2026-05-11T16:37:37+08:00,2026/05/11 16:37:37.765,49,17188,24564,153.13,58
2026-05-11T16:37:39+08:00,2026/05/11 16:37:39.853,35,17188,24564,152.46,58
2026-05-11T16:37:42+08:00,2026/05/11 16:37:42.070,50,17188,24564,151.68,59
2026-05-11T16:37:44+08:00,2026/05/11 16:37:44.158,66,17188,24564,155.15,58
2026-05-11T16:37:46+08:00,2026/05/11 16:37:46.250,63,17188,24564,158.45,59
2026-05-11T16:37:48+08:00,2026/05/11 16:37:48.334,84,17188,24564,233.52,58
2026-05-11T16:37:50+08:00,2026/05/11 16:37:50.418,66,17188,24564,156.10,58
2026-05-11T16:37:52+08:00,2026/05/11 16:37:52.596,50,17188,24564,155.65,59
2026-05-11T16:37:54+08:00,2026/05/11 16:37:54.685,50,17188,24564,156.13,59
2026-05-11T16:37:56+08:00,2026/05/11 16:37:56.769,65,17188,24564,243.08,65
2026-05-11T16:37:58+08:00,2026/05/11 16:37:58.856,56,17188,24564,158.68,60
2026-05-11T16:38:00+08:00,2026/05/11 16:38:00.944,49,17188,24564,155.85,59
2026-05-11T16:38:03+08:00,2026/05/11 16:38:03.123,50,17188,24564,156.95,60
2026-05-11T16:38:05+08:00,2026/05/11 16:38:05.207,67,17188,24564,206.12,62
2026-05-11T16:38:07+08:00,2026/05/11 16:38:07.290,51,17188,24564,158.05,60
2026-05-11T16:38:09+08:00,2026/05/11 16:38:09.374,65,17188,24564,157.45,60
2026-05-11T16:38:11+08:00,2026/05/11 16:38:11.548,60,17188,24564,156.81,59
2026-05-11T16:38:13+08:00,2026/05/11 16:38:13.630,66,17188,24564,161.27,60
2026-05-11T16:38:15+08:00,2026/05/11 16:38:15.716,51,17188,24564,155.11,59
2026-05-11T16:38:17+08:00,2026/05/11 16:38:17.798,51,17188,24564,157.51,60
2026-05-11T16:38:19+08:00,2026/05/11 16:38:19.879,59,17188,24564,167.90,59
2026-05-11T16:38:22+08:00,2026/05/11 16:38:22.052,49,17188,24564,156.34,60
2026-05-11T16:38:24+08:00,2026/05/11 16:38:24.135,65,17188,24564,155.77,59
2026-05-11T16:38:26+08:00,2026/05/11 16:38:26.215,49,17188,24564,160.82,60
2026-05-11T16:38:28+08:00,2026/05/11 16:38:28.295,81,17188,24564,215.92,59
2026-05-11T16:38:30+08:00,2026/05/11 16:38:30.376,68,17188,24564,156.53,60
2026-05-11T16:38:32+08:00,2026/05/11 16:38:32.552,65,17188,24564,155.95,59
2026-05-11T16:38:34+08:00,2026/05/11 16:38:34.633,46,17188,24564,156.54,60
2026-05-11T16:38:36+08:00,2026/05/11 16:38:36.716,63,17188,24564,245.93,65
2026-05-11T16:38:38+08:00,2026/05/11 16:38:38.803,63,17188,24564,155.24,59
2026-05-11T16:38:40+08:00,2026/05/11 16:38:40.887,54,17188,24564,157.91,60
2026-05-11T16:38:43+08:00,2026/05/11 16:38:43.057,47,17188,24564,155.07,59
2026-05-11T16:38:45+08:00,2026/05/11 16:38:45.141,46,17188,24564,241.52,66
2026-05-11T16:38:47+08:00,2026/05/11 16:38:47.218,48,17188,24564,157.54,59
2026-05-11T16:38:49+08:00,2026/05/11 16:38:49.298,51,17188,24564,158.62,60
2026-05-11T16:38:51+08:00,2026/05/11 16:38:51.476,52,17188,24564,157.55,60
2026-05-11T16:38:53+08:00,2026/05/11 16:38:53.556,67,17188,24564,177.34,59
2026-05-11T16:38:55+08:00,2026/05/11 16:38:55.642,56,17188,24564,159.49,60
