timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-12T11:50:01+08:00,2026/05/12 11:50:01.455,4,313,24564,55.57,31
2026-05-12T11:50:03+08:00,2026/05/12 11:50:03.742,0,313,24564,9.91,30
2026-05-12T11:50:05+08:00,2026/05/12 11:50:05.885,0,313,24564,5.68,30
2026-05-12T11:50:08+08:00,2026/05/12 11:50:07.981,0,313,24564,5.66,30
2026-05-12T11:50:10+08:00,2026/05/12 11:50:10.079,0,1857,24564,55.58,32
2026-05-12T11:50:12+08:00,2026/05/12 11:50:12.172,3,2145,24564,55.62,32
2026-05-12T11:50:14+08:00,2026/05/12 11:50:14.360,0,2145,24564,55.42,32
2026-05-12T11:50:16+08:00,2026/05/12 11:50:16.450,2,2185,24564,23.11,31
2026-05-12T11:50:18+08:00,2026/05/12 11:50:18.544,8,2185,24564,13.66,31
2026-05-12T11:50:20+08:00,2026/05/12 11:50:20.634,8,2185,24564,13.76,31
2026-05-12T11:50:22+08:00,2026/05/12 11:50:22.723,1,2185,24564,12.96,31
2026-05-12T11:50:24+08:00,2026/05/12 11:50:24.908,4,2185,24564,13.74,31
2026-05-12T11:50:27+08:00,2026/05/12 11:50:26.998,4,2185,24564,14.25,31
2026-05-12T11:50:29+08:00,2026/05/12 11:50:29.087,3,2185,24564,13.23,31
2026-05-12T11:50:31+08:00,2026/05/12 11:50:31.177,4,2185,24564,13.53,31
2026-05-12T11:50:33+08:00,2026/05/12 11:50:33.360,3,2185,24564,13.31,31
2026-05-12T11:50:35+08:00,2026/05/12 11:50:35.449,3,2185,24564,13.13,31
2026-05-12T11:50:37+08:00,2026/05/12 11:50:37.541,8,2185,24564,13.73,31
2026-05-12T11:50:39+08:00,2026/05/12 11:50:39.659,7,2249,24564,13.40,32
2026-05-12T11:50:41+08:00,2026/05/12 11:50:41.748,3,2249,24564,12.43,32
2026-05-12T11:50:43+08:00,2026/05/12 11:50:43.932,3,2249,24564,13.97,32
