timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-12T16:07:44+08:00,2026/05/12 16:07:44.803,2,307,24564,55.50,31
2026-05-12T16:07:47+08:00,2026/05/12 16:07:47.094,0,306,24564,8.71,30
2026-05-12T16:07:49+08:00,2026/05/12 16:07:49.234,3,306,24564,5.58,30
2026-05-12T16:07:51+08:00,2026/05/12 16:07:51.335,2,306,24564,5.62,30
2026-05-12T16:07:53+08:00,2026/05/12 16:07:53.432,0,1850,24564,55.69,32
2026-05-12T16:07:55+08:00,2026/05/12 16:07:55.519,0,1850,24564,55.32,32
2026-05-12T16:07:57+08:00,2026/05/12 16:07:57.691,0,2138,24564,55.22,32
2026-05-12T16:07:59+08:00,2026/05/12 16:07:59.783,2,2178,24564,23.24,32
2026-05-12T16:08:01+08:00,2026/05/12 16:08:01.875,3,2178,24564,14.76,32
2026-05-12T16:08:03+08:00,2026/05/12 16:08:03.964,4,2178,24564,12.89,32
2026-05-12T16:08:06+08:00,2026/05/12 16:08:06.053,4,2178,24564,12.22,32
2026-05-12T16:08:08+08:00,2026/05/12 16:08:08.244,7,2178,24564,13.35,32
2026-05-12T16:08:10+08:00,2026/05/12 16:08:10.334,7,2178,24564,14.16,32
2026-05-12T16:08:12+08:00,2026/05/12 16:08:12.425,3,2178,24564,13.04,32
2026-05-12T16:08:14+08:00,2026/05/12 16:08:14.521,4,2178,24564,14.69,32
2026-05-12T16:08:16+08:00,2026/05/12 16:08:16.725,3,2178,24564,13.17,32
2026-05-12T16:08:18+08:00,2026/05/12 16:08:18.818,3,2178,24564,12.24,32
2026-05-12T16:08:20+08:00,2026/05/12 16:08:20.921,5,2242,24564,13.29,32
2026-05-12T16:08:23+08:00,2026/05/12 16:08:23.016,3,2242,24564,13.95,32
2026-05-12T16:08:25+08:00,2026/05/12 16:08:25.107,3,2242,24564,13.43,32
2026-05-12T16:08:27+08:00,2026/05/12 16:08:27.599,3,2242,24564,13.40,32
2026-05-12T16:08:29+08:00,2026/05/12 16:08:29.694,4,2242,24564,13.47,32
2026-05-12T16:08:31+08:00,2026/05/12 16:08:31.775,3,2242,24564,12.53,32
2026-05-12T16:08:33+08:00,2026/05/12 16:08:33.868,38,2738,24564,13.57,32
2026-05-12T16:08:35+08:00,2026/05/12 16:08:35.952,5,6186,24564,6.75,32
2026-05-12T16:08:38+08:00,2026/05/12 16:08:38.198,1,7348,24564,51.53,33
2026-05-12T16:08:40+08:00,2026/05/12 16:08:40.285,1,8560,24564,60.90,33
2026-05-12T16:08:42+08:00,2026/05/12 16:08:42.373,48,8602,24564,145.80,37
2026-05-12T16:08:44+08:00,2026/05/12 16:08:44.466,62,8604,24564,138.69,37
2026-05-12T16:08:47+08:00,2026/05/12 16:08:47.013,57,8604,24564,143.15,39
2026-05-12T16:08:49+08:00,2026/05/12 16:08:49.105,83,17204,24564,168.64,39
2026-05-12T16:08:51+08:00,2026/05/12 16:08:51.204,50,17206,24564,140.39,40
2026-05-12T16:08:53+08:00,2026/05/12 16:08:53.311,55,17206,24564,142.89,41
2026-05-12T16:08:55+08:00,2026/05/12 16:08:55.406,62,17206,24564,144.10,41
2026-05-12T16:08:57+08:00,2026/05/12 16:08:57.606,57,17206,24564,232.80,47
2026-05-12T16:08:59+08:00,2026/05/12 16:08:59.703,47,17204,24564,143.14,43
2026-05-12T16:09:01+08:00,2026/05/12 16:09:01.790,49,17204,24564,142.61,44
2026-05-12T16:09:03+08:00,2026/05/12 16:09:03.882,47,17204,24564,146.29,43
2026-05-12T16:09:06+08:00,2026/05/12 16:09:05.976,50,17204,24564,231.72,46
2026-05-12T16:09:08+08:00,2026/05/12 16:09:08.167,55,17206,24564,145.99,45
2026-05-12T16:09:10+08:00,2026/05/12 16:09:10.640,47,17206,24564,141.75,46
2026-05-12T16:09:12+08:00,2026/05/12 16:09:12.740,65,17206,24564,142.80,46
2026-05-12T16:09:14+08:00,2026/05/12 16:09:14.840,65,17206,24564,147.98,47
2026-05-12T16:09:17+08:00,2026/05/12 16:09:17.038,60,17206,24564,146.58,47
2026-05-12T16:09:19+08:00,2026/05/12 16:09:19.138,48,17206,24564,148.53,48
2026-05-12T16:09:21+08:00,2026/05/12 16:09:21.228,62,17206,24564,161.09,47
2026-05-12T16:09:23+08:00,2026/05/12 16:09:23.318,64,17206,24564,145.42,49
2026-05-12T16:09:25+08:00,2026/05/12 16:09:25.413,50,17206,24564,145.16,48
2026-05-12T16:09:27+08:00,2026/05/12 16:09:27.599,47,17206,24564,147.45,49
2026-05-12T16:09:29+08:00,2026/05/12 16:09:29.746,86,17206,24564,235.63,53
2026-05-12T16:09:31+08:00,2026/05/12 16:09:31.838,67,17206,24564,151.32,52
2026-05-12T16:09:33+08:00,2026/05/12 16:09:33.934,47,17206,24564,149.91,51
2026-05-12T16:09:36+08:00,2026/05/12 16:09:36.030,48,17206,24564,144.30,52
2026-05-12T16:09:38+08:00,2026/05/12 16:09:38.229,49,17206,24564,228.09,57
2026-05-12T16:09:40+08:00,2026/05/12 16:09:40.320,55,17206,24564,150.35,53
2026-05-12T16:09:42+08:00,2026/05/12 16:09:42.412,62,17206,24564,150.68,53
2026-05-12T16:09:44+08:00,2026/05/12 16:09:44.510,50,17206,24564,148.62,53
2026-05-12T16:09:46+08:00,2026/05/12 16:09:46.696,51,17206,24564,198.77,55
2026-05-12T16:09:48+08:00,2026/05/12 16:09:48.790,47,17206,24564,147.26,55
2026-05-12T16:09:50+08:00,2026/05/12 16:09:50.884,67,17206,24564,148.39,55
2026-05-12T16:09:52+08:00,2026/05/12 16:09:52.972,66,17206,24564,153.45,55
2026-05-12T16:09:55+08:00,2026/05/12 16:09:55.325,65,17206,24564,150.15,55
2026-05-12T16:09:57+08:00,2026/05/12 16:09:57.526,65,17206,24564,149.81,55
2026-05-12T16:09:59+08:00,2026/05/12 16:09:59.614,63,17206,24564,152.88,56
2026-05-12T16:10:01+08:00,2026/05/12 16:10:01.700,61,17206,24564,178.45,57
2026-05-12T16:10:03+08:00,2026/05/12 16:10:03.787,50,17206,24564,148.85,58
2026-05-12T16:10:05+08:00,2026/05/12 16:10:05.879,66,17206,24564,151.37,57
2026-05-12T16:10:08+08:00,2026/05/12 16:10:08.067,66,17206,24564,151.59,57
2026-05-12T16:10:10+08:00,2026/05/12 16:10:10.154,83,17206,24564,219.97,62
2026-05-12T16:10:12+08:00,2026/05/12 16:10:12.246,65,17206,24564,141.68,57
2026-05-12T16:10:14+08:00,2026/05/12 16:10:14.337,47,17206,24564,154.75,58
2026-05-12T16:10:16+08:00,2026/05/12 16:10:16.524,50,17206,24564,154.40,58
2026-05-12T16:10:18+08:00,2026/05/12 16:10:18.617,63,17206,24564,240.53,63
2026-05-12T16:10:20+08:00,2026/05/12 16:10:20.711,67,17206,24564,152.92,58
2026-05-12T16:10:22+08:00,2026/05/12 16:10:22.797,57,17206,24564,153.68,58
2026-05-12T16:10:24+08:00,2026/05/12 16:10:24.890,50,17206,24564,157.31,58
2026-05-12T16:10:27+08:00,2026/05/12 16:10:27.079,50,17206,24564,232.78,59
2026-05-12T16:10:29+08:00,2026/05/12 16:10:29.175,51,17206,24564,152.25,58
2026-05-12T16:10:31+08:00,2026/05/12 16:10:31.262,66,17206,24564,151.82,58
2026-05-12T16:10:33+08:00,2026/05/12 16:10:33.355,51,17206,24564,153.90,58
2026-05-12T16:10:35+08:00,2026/05/12 16:10:35.661,49,17206,24564,155.96,58
