"主机名","任务名","下次运行时间","模式","登录状态","上次运行时间","上次结果","创建者","要运行的任务","起始于","注释","计划任务状态","空闲时间","电源管理","作为用户运行","删除没有计划的任务","如果运行了 X 小时 X 分钟，停止任务","计划","计划类型","开始时间","开始日期","结束日期","天","月","重复: 每","重复: 截止: 时间","重复: 截止: 持续时间","重复: 如果还在运行，停止"
"DESKTOP-MBKP1TH","\CodexEchoTest","N/A","就绪","只使用交互方式","2026/5/3 23:59:00","127","DESKTOP-MBKP1TH\Administrator","C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\schtasks_echo_test.cmd ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/3","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CodexGpuIdleAudit_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","-2147020576","DESKTOP-MBKP1TH\Administrator","powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\gpu_idle_audit_logger.ps1 -IntervalSeconds 5 -DurationHours 12","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CodexT1PitchRoll1000","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_pitchroll1000_detached_inner_e.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CodexT1PitchRoll1000Cuda","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_pitchroll1000_schtasks_cuda.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CodexT1TestDetach","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","0","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/test_wsl_detach.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\Copy3DGS","N/A","就绪","交互方式/后台方式","2026/5/1 1:41:08","267014","DESKTOP-MBKP1TH\Administrator","powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Desktop\copy_3dgs.ps1","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","0:00:00","2026/5/1","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CosmosMigrate","N/A","就绪","交互方式/后台方式","2025/11/19 11:55:27","0","DESKTOP-MBKP1TH\Administrator",""C:\Program Files\Chaos\Cosmos\migrate.bat" ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","INTERACTIVE","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","0:00:00","2025/11/19","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\CosmosStart","N/A","就绪","交互方式/后台方式","2025/11/19 11:55:28","0","DESKTOP-MBKP1TH\Administrator",""C:\Program Files\Chaos\Cosmos\start.bat" ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","INTERACTIVE","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","0:00:00","2025/11/19","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\DBAppSecurityUpdate","2026/5/11 8:15:00","就绪","交互方式/后台方式","2026/5/11 5:45:02","2","WORKGROUP\DESKTOP-MBKP1TH$","C:\Windows\dasec\das_sos.exe ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","SYSTEM","已禁用","72:00:00","计划数据在此格式中不可用。","一次性, 分钟 ","0:45:00","2026/5/11","N/A","N/A","N/A","2 小时， 30 分钟","无","已禁用","已禁用"
"DESKTOP-MBKP1TH","\Gemma4 vLLM Watchdog","N/A","正在运行","只使用交互方式","2026/5/11 0:45:14","267009","N/A","powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\vllm-gemma4\start-watchdog.ps1"","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","8760:00:00","计划数据在此格式中不可用。","登陆时","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-MBKP1TH","\GemmaContextProbe","N/A","就绪","交互方式/后台方式","2026/5/9 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_probe_launcher_20260509_235120.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/9","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\GemmaContextRefine","N/A","就绪","交互方式/后台方式","2026/5/9 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_refine_launcher_20260510_000757.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/9","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\GemmaContextSingle","N/A","就绪","交互方式/后台方式","2026/5/10 23:59:00","1","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_single_launcher_20260510_082724.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\GemmaGridHigh","N/A","就绪","交互方式/后台方式","2026/5/9 23:59:00","9","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/grid_high_launcher_20260509_212307.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/9","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\GemmaGridRefine15","N/A","就绪","交互方式/后台方式","2026/5/9 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/grid_refine15_launcher_20260509_223248.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/9","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
