"TaskName","TaskPath","State","LastRunTime","LastTaskResult","NextRunTime","Actions","Triggers"
"Gemma4 vLLM Watchdog","\","Running","2026/5/11 0:45:45","267009",,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\vllm-gemma4\start-watchdog.ps1""","MSFT_TaskLogonTrigger"
"GemmaContextProbe","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_probe_launcher_20260509_235120.sh","MSFT_TaskTimeTrigger"
"GemmaContextRefine","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_refine_launcher_20260510_000757.sh","MSFT_TaskTimeTrigger"
"GemmaContextSingle","\","Ready","2026/5/10 23:59:59","1",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/context_single_launcher_20260510_082724.sh","MSFT_TaskTimeTrigger"
"GemmaGridHigh","\","Ready","2026/5/9 23:59:59","9",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/grid_high_launcher_20260509_212307.sh","MSFT_TaskTimeTrigger"
"GemmaGridRefine15","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/grid_refine15_launcher_20260509_223248.sh","MSFT_TaskTimeTrigger"
"GemmaSleepTest","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -d IsaacLab-22.04 -- bash /root/gemma4-dflash-lab/runlogs/sleep_test.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4GaitPhaseSoft500","\","Ready","2026/5/8 23:59:59","0",,"C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\start_gaitphase500.cmd ","MSFT_TaskTimeTrigger"
"T1Shoulder4GaitPhaseSwing400","\","Ready","2026/5/8 23:59:59","0",,"C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\start_gaitphase_swing400.cmd ","MSFT_TaskTimeTrigger"
"T1Shoulder4LateralOutward400_20260510","\","Ready","2026/5/10 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4LateralOutwardAsymRoll400_20260510","\","Ready","2026/5/10 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_asymroll400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4LateralOutwardLightFoot400_20260510","\","Ready","2026/5/10 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_lightfoot400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4LateralOutwardNoSwayStatic400_20260510","\","Ready","2026/5/10 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_nosway_static400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4LateralOutwardSignFix400_20260510","\","Ready","2026/5/10 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_signfix400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4Night5_400_20260510","\","Ready","2026/5/10 23:59:59","2147946720",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_night5_400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4SignFixAmp2StaticDown400_20260509","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_signfix_amp2_staticdown400_full_auto.sh","MSFT_TaskTimeTrigger"
"T1Shoulder4SignFixDown80_20260509","\","Ready","2026/5/9 23:59:59","0",,"C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_signfix_down80_full_auto.sh","MSFT_TaskTimeTrigger"
